                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27553,                0.66104,                      1,                0.61894,               0.070024,              0.0033307,              0.0033307
                      2,                0.30064,                0.88943,                      1,                0.42904,               0.039892,              0.0065321,              0.0065321
                      3,                0.26864,                0.86312,                      1,                 0.4559,              0.0096277,              0.0096015,              0.0096015
                      4,                0.26832,                0.93892,                      1,                0.39255,               0.009406,               0.009406,               0.009406
                      5,                0.25018,                0.94678,                      1,                0.40723,               0.009208,               0.009208,               0.009208
                      6,                0.23701,                0.94855,                      1,                0.37743,                0.00901,                0.00901,                0.00901
                      7,                0.23058,                0.94658,                      1,                0.38841,               0.008812,               0.008812,               0.008812
                      8,                0.22122,                0.95699,                      1,                0.36092,               0.008614,               0.008614,               0.008614
                      9,                0.20818,                0.95738,                      1,                 0.3592,               0.008416,               0.008416,               0.008416
                     10,                0.20381,                0.96622,                      1,                0.35804,               0.008218,               0.008218,               0.008218
                     11,                0.20597,                0.96563,                      1,                 0.3545,                0.00802,                0.00802,                0.00802
                     12,                 0.1839,                0.97231,                      1,                0.34554,               0.007822,               0.007822,               0.007822
                     13,                0.18524,                0.97467,                      1,                0.34301,               0.007624,               0.007624,               0.007624
                     14,                0.17964,                0.97506,                      1,                0.34489,               0.007426,               0.007426,               0.007426
                     15,                0.17435,                0.97545,                      1,                0.34141,               0.007228,               0.007228,               0.007228
                     16,                0.16778,                0.97643,                      1,                0.34184,                0.00703,                0.00703,                0.00703
                     17,                0.16601,                0.97584,                      1,                0.34107,               0.006832,               0.006832,               0.006832
                     18,                0.16312,                0.97702,                      1,                0.33991,               0.006634,               0.006634,               0.006634
                     19,                0.16081,                0.97958,                      1,                0.33788,               0.006436,               0.006436,               0.006436
                     20,                 0.1547,                0.97879,                      1,                0.33823,               0.006238,               0.006238,               0.006238
                     21,                0.15197,                0.97918,                      1,                0.33835,                0.00604,                0.00604,                0.00604
                     22,                0.14852,                0.97918,                      1,                0.33809,               0.005842,               0.005842,               0.005842
                     23,                0.14523,                0.97899,                      1,                0.33755,               0.005644,               0.005644,               0.005644
                     24,                0.14345,                0.97899,                      1,                0.33731,               0.005446,               0.005446,               0.005446
                     25,                0.13698,                0.97977,                      1,                0.33719,               0.005248,               0.005248,               0.005248
                     26,                0.13496,                0.97997,                      1,                0.33672,                0.00505,                0.00505,                0.00505
                     27,                0.13022,                0.98075,                      1,                0.33659,               0.004852,               0.004852,               0.004852
                     28,                0.13104,                0.98075,                      1,                0.33667,               0.004654,               0.004654,               0.004654
                     29,                0.11859,                0.98174,                      1,                0.33666,               0.004456,               0.004456,               0.004456
                     30,                 0.1251,                0.98115,                      1,                0.33689,               0.004258,               0.004258,               0.004258
                     31,                0.11947,                0.98115,                      1,                0.33704,                0.00406,                0.00406,                0.00406
                     32,                0.11836,                0.98174,                      1,                0.33691,               0.003862,               0.003862,               0.003862
                     33,                0.11276,                0.98154,                      1,                0.33731,               0.003664,               0.003664,               0.003664
                     34,                0.10716,                0.98174,                      1,                0.33767,               0.003466,               0.003466,               0.003466
                     35,                0.10739,                0.98075,                      1,                0.33847,               0.003268,               0.003268,               0.003268
                     36,                0.10343,                0.98154,                      1,                 0.3392,                0.00307,                0.00307,                0.00307
                     37,                0.10294,                0.98193,                      1,                0.34036,               0.002872,               0.002872,               0.002872
                     38,                0.09749,                0.98213,                      1,                0.34171,               0.002674,               0.002674,               0.002674
                     39,                0.09309,                0.98174,                      1,                0.34367,               0.002476,               0.002476,               0.002476
                     40,                0.09456,                0.98075,                      1,                0.34656,               0.002278,               0.002278,               0.002278
                     41,                0.08667,                0.97977,                      1,                 0.3495,                0.00208,                0.00208,                0.00208
                     42,                0.08355,                0.97958,                      1,                0.35201,               0.001882,               0.001882,               0.001882
                     43,                0.08007,                0.97938,                      1,                0.35517,               0.001684,               0.001684,               0.001684
                     44,                0.07885,                0.97899,                      1,                0.35816,               0.001486,               0.001486,               0.001486
                     45,                0.07563,                0.97918,                      1,                0.36136,               0.001288,               0.001288,               0.001288
                     46,                  0.071,                0.97899,                      1,                0.36489,                0.00109,                0.00109,                0.00109
                     47,                0.06822,                0.97958,                      1,                0.36833,               0.000892,               0.000892,               0.000892
                     48,                0.06253,                0.97899,                      1,                0.37098,               0.000694,               0.000694,               0.000694
                     49,                0.06081,                0.97899,                      1,                0.37347,               0.000496,               0.000496,               0.000496
                     50,                0.05695,                0.97918,                      1,                0.37535,               0.000298,               0.000298,               0.000298
